aValue,bValue,Rs,Xc,Species,Type,Condition,frequencykHz
1482.698019,329.34204,1459.89793,332.7846953,Goat,Carcass,H,50
144.6424319,26.2144605,158.6729049,30.66055779,Goat,Carcass,H,50
127.1855028,29.00226174,128.7493807,30.2063856,Goat,Carcass,H,50
163.782592,25.77734313,161.9461491,30.41014152,Goat,Carcass,H,50
146.0110155,27.16659261,125.0399954,33.42795298,Goat,Carcass,H,50
156.1037087,28.15143323,155.4947006,26.75515563,Goat,Carcass,H,50
193.0151237,46.60247016,204.2872877,43.74850751,Goat,Carcass,H,50
178.5406514,29.04655525,165.910775,31.22719436,Goat,Carcass,H,50
138.6062755,35.98545764,155.8073792,38.565316,Goat,Carcass,H,50
1107.387865,348.7548242,1105.468473,354.8436488,Goat,Carcass,H,50
1480.46035,330.7125865,1472.003771,329.5827652,Goat,Carcass,H,50
157.7486721,35.59513844,137.6749381,33.41551262,Goat,Carcass,H,50
139.4192992,24.51083948,140.2937395,29.48685393,Goat,Carcass,H,50
148.7454885,38.97970092,159.651796,31.2481325,Goat,Carcass,H,50
164.3186274,32.41294266,150.3287089,32.84945342,Goat,Carcass,H,50
151.8311435,34.69696051,142.2237712,34.67342879,Goat,Carcass,H,50
366.6736863,126.3246917,360.9607423,129.3177445,Goat,Carcass,H,50
172.6241933,38.01316339,177.8493241,40.04296241,Goat,Carcass,H,50
147.5715975,29.03827504,157.7933189,27.74033298,Goat,Carcass,H,50
138.3814771,25.69662968,157.9644696,30.06829777,Goat,Carcass,H,50
146.9641967,30.99286124,132.2554261,31.37866482,Goat,Carcass,H,50
150.6932163,32.42629427,155.3351411,29.68729911,Goat,Carcass,H,50
148.4756629,37.3527517,140.0412691,34.96591439,Goat,Carcass,H,50
155.1749857,28.07420065,170.2952413,26.9528292,Goat,Carcass,H,50
132.1776308,29.35086178,126.4838146,32.44610557,Goat,Carcass,H,50
155.1184303,28.17341693,155.6954437,25.51912041,Goat,Carcass,H,50
144.9324586,30.08188537,139.0244312,30.23714397,Goat,Carcass,H,50
139.564798,29.90817004,134.7886601,28.22978774,Goat,Carcass,H,50
166.6694973,35.67633013,142.3227534,35.84018064,Goat,Carcass,H,50
149.2956589,36.29727086,132.7916113,38.86422707,Goat,Carcass,H,50
1483.138041,331.85224,1482.068177,333.7439647,Goat,Carcass,H,50
134.4228289,24.9568081,130.2440747,32.50296186,Goat,Carcass,H,50
134.037628,32.90335405,160.1845071,34.1450763,Goat,Carcass,H,50
120.9141951,26.86202964,141.6833045,27.6070367,Goat,Carcass,H,50
127.5683921,34.55456199,140.6809816,32.39763986,Goat,Carcass,H,50
1480.099803,330.3399711,1457.037627,331.3421674,Goat,Carcass,H,50
158.4609825,36.94830168,145.4873998,37.58395125,Goat,Carcass,H,50
148.4172153,33.01777665,146.0294039,27.33865009,Goat,Carcass,H,50
151.184939,27.67763161,170.1587244,31.44492014,Goat,Carcass,H,50
167.9314294,25.58193689,144.9799991,27.18118877,Goat,Carcass,H,50
141.5804519,34.83202378,127.5191851,30.21361921,Goat,Carcass,H,50
134.8254237,27.7250738,114.8954331,29.18750079,Goat,Carcass,H,50
78.18226218,37.99721558,73.83816404,35.14649281,Goat,Carcass,H,50
138.6915686,31.211944,163.9706897,30.48588144,Goat,Carcass,H,50
127.1557306,36.39846955,142.8083276,35.68139129,Goat,Carcass,H,50
155.1008259,27.74611359,182.2379533,28.94231205,Goat,Carcass,H,50
163.3272951,33.8225452,139.4725448,34.67710841,Goat,Carcass,H,50
