aValue,bValue,frequencykHz,Rs,Xc,Species,Type,Condition,Goat_Weight_kg,Meat_Yield_pct
182.1257435,39.38610755,50,180.8081921,42.20975654,Goat,Carcass,P,25,44.6
156.3319942,36.28726251,50,176.2229144,39.28790745,Goat,Carcass,P,34.8,42.9
1482.698019,329.34204,50,1459.89793,332.7846953,Goat,Carcass,H,72.9,60
190.6481762,40.01973367,50,178.0735048,40.04740626,Goat,Carcass,P,28.1,44
137.9865646,35.55842742,50,166.5051831,35.98247295,Goat,Carcass,P,28.6,47.2
144.6424319,26.2144605,50,158.6729049,30.66055779,Goat,Carcass,H,35.2,49.3
180.3113683,36.06958282,50,194.05143,40.97002801,Goat,Carcass,P,34.8,41.8
144.7560294,33.01069379,50,131.8346939,33.13130115,Goat,Carcass,P,28.9,45.1
165.8276562,38.05972428,50,148.6645149,36.65765781,Goat,Carcass,P,25,47.8
149.2495994,33.71881869,50,165.8951924,31.11931452,Goat,Carcass,P,25,46.8
105.0207366,54.85851564,50,104.8811671,50.55130029,Goat,Carcass,P,31.9,41.4
180.9784766,36.97529747,50,171.0177047,42.63486119,Goat,Carcass,P,25,43.8
178.6773333,36.64072483,50,182.1071147,43.93654322,Goat,Carcass,P,30.3,44.4
160.5630765,32.98492973,50,156.6440893,23.83794792,Goat,Carcass,P,43.7,44.3
206.7956429,44.83669276,50,193.6516576,47.72405536,Goat,Carcass,P,33.9,45.3
127.1855028,29.00226174,50,128.7493807,30.2063856,Goat,Carcass,H,32.9,48.4
163.782592,25.77734313,50,161.9461491,30.41014152,Goat,Carcass,H,25.1,47.5
148.1639216,31.78521713,50,167.2738487,34.20532599,Goat,Carcass,P,25,46.3
146.0110155,27.16659261,50,125.0399954,33.42795298,Goat,Carcass,H,33.4,46.7
148.4878673,31.10240613,50,146.969518,29.49915973,Goat,Carcass,P,28.5,42.6
156.1037087,28.15143323,50,155.4947006,26.75515563,Goat,Carcass,H,36.1,47.1
193.0151237,46.60247016,50,204.2872877,43.74850751,Goat,Carcass,H,32.2,50.9
178.5406514,29.04655525,50,165.910775,31.22719436,Goat,Carcass,H,48.5,49.6
155.414859,30.51696219,50,151.4005048,32.48604065,Goat,Carcass,P,27.7,46
138.6062755,35.98545764,50,155.8073792,38.565316,Goat,Carcass,H,31.7,47.7
1107.387865,348.7548242,50,1105.468473,354.8436488,Goat,Carcass,H,56.2,53.7
1480.46035,330.7125865,50,1472.003771,329.5827652,Goat,Carcass,H,79.1,59.2
157.7486721,35.59513844,50,137.6749381,33.41551262,Goat,Carcass,H,32.6,48.7
185.2337511,40.96278052,50,173.6798593,38.06753032,Goat,Carcass,P,26.6,44.9
139.4192992,24.51083948,50,140.2937395,29.48685393,Goat,Carcass,H,28.5,45.8
184.9687098,37.7650909,50,166.2886299,30.33690222,Goat,Carcass,P,38.2,45.4
144.8310538,30.95291965,50,155.1496491,27.14351955,Goat,Carcass,P,36.7,42.5
148.7454885,38.97970092,50,159.651796,31.2481325,Goat,Carcass,H,25,48.1
